genesymbol	log2FoldChange	padj	genename	chromosome_name	idx
YBL041W	1.18936564652432	0.038401874964293	PRE7	2	28
YBL042C	-0.978592578733735	0.418329732149047	FUI1	2	27
YBL045C	-0.0168158299456886	0.974869635106783	COR1	2	26
YBL046W	1.07782737232814	0.540546228749105	PSY4	2	26
YBL047C	0.441755166675609	0.400698881676999	EDE1	2	25
YBL048W	0.527076467067699	0.0117656058189148	NA	2	25
YBL049W	-1.38289800086809	6.83480432990338e-06	MOH1	2	25
YBL050W	0.648404855770413	0.816119805396661	SEC17	2	25
YBL051C	0.187088465534268	0.72277588805983	PIN4	2	24
YBL052C	0.725680755093313	2.54073833223299e-08	SAS3	2	23
YBL054W	-0.179534915945028	0.0206116507061906	TOD6	2	23
YBL055C	-1.09228072220322	0.00978885786180368	NA	2	23
YBL056W	0.138736759864313	0.0794894560826631	PTC3	2	22
YBL057C	1.92251571077876	0.0805599816863311	PTH2	2	22
YBL058W	0.451013019812051	0.840406028500572	SHP1	2	22
YBL059C-A	0.689775656421516	0.305182932859758	CMC2	2	22
YBL059W	-0.469089451632852	0.499272586934818	NA	2	22
YBL060W	-0.0660891990511181	0.0868099919514643	YEL1	2	21
YBL061C	1.41282612466238	0.238586288889402	SKT5	2	21
YBL063W	0.0943019371566742	0.00334159499525343	KIP1	2	20
YBL064C	-0.057267696068521	0.92527295082668	PRX1	2	20
YBL066C	0.0742473725040655	0.000143792751827364	SEF1	2	19
YBL067C	-0.0349883440862708	0.37881349545388	UBP13	2	18
YBL069W	-0.714395343534527	0.140064860774322	AST1	2	18
YBL071C	-0.56553163374083	0.261407972987698	NA	2	18
YBL071W-A	-1.2695449247439	0.129310480332443	KTI11	2	17
YBL072C	-0.549251943018817	0.0017361186503174	RPS8A	2	17
YBL075C	-0.680501054761133	0.597552481430955	SSA3	2	16
YBL076C	-0.0394496971673514	0.879542421575715	ILS1	2	16
YBL078C	4.19881929935009	0.00800642886183962	ATG8	2	16
YBL079W	-0.654863436826021	8.06787443582948e-06	NUP170	2	15
YBL080C	0.853571275098161	0.0690560509702185	PET112	2	14
YBL081W	1.07504219017545	0.269924468218869	NA	2	14
YBL082C	-0.268045005704482	0.914154637812803	ALG3	2	13
YBL084C	-1.653443805463	0.32927774840444	CDC27	2	13
YBL085W	-0.091484615498302	0.306816301438168	BOI1	2	12
YBL086C	-0.0595672945501491	0.724229680310917	NA	2	12
YBL087C	-0.368814242648044	0.56270085602608	RPL23A	2	11
YBL088C	0.00941643104167603	0.219442120624336	TEL1	2	10
YBL089W	1.11636966992092	0.343765394586118	AVT5	2	9
YBL090W	-1.1199585875974	0.520610072490406	MRP21	2	9
YBL091C	0.306172214684193	0.298564596232302	MAP2	2	9
YBL091C-A	-0.336252790598248	0.156299337499231	SCS22	2	9
YBL092W	-0.68733623907432	0.000200044998832336	RPL32	2	9
YBL093C	0.329306238614999	0.927123510164163	ROX3	2	8
YBL095W	1.06607813620912	0.283728655737691	MRX3	2	8
YBL097W	0.125040804182579	0.920573590701752	BRN1	2	8
YBL098W	0.0679851776676167	0.744684183906435	BNA4	2	7
YBL099W	0.535209508550306	0.559484056289099	ATP1	2	7
YBL100W-B	1.74050517120763	0.275097370516052	NA	2	5
YBL100W-C	0.28455862330702	0.754897141036938	NA	2	5
YBL101C	1.27642681121018	0.21919966612816	ECM21	2	4
YBL102W	-1.06041721143481	0.074524519419139	SFT2	2	4
YBL103C	0.038183659813524	0.222760616331205	RTG3	2	4
YBL104C	-0.198500804013081	0.282041887506225	SEA4	2	3
YBL105C	0.901203187579802	0.480232386919065	PKC1	2	2
YBL106C	0.922399943695692	0.00999815402086526	SRO77	2	2
YBL107C	0.466312243415486	0.893593029587346	MIX23	2	1
YBL111C	-1.6739710338128	0.209831755627751	NA	2	0
YBL113C	-1.81802660514876	0.0124671189458917	NA	2	0
YBR001C	0.343356968542539	0.594400076222258	NTH2	2	47
YBR002C	1.22236496269963	3.3551909079293e-05	RER2	2	48
YBR003W	0.961598823649811	0.575506509264196	COQ1	2	48
YBR004C	1.22708015608321	0.209360196540429	GPI18	2	48
YBR005W	-1.25479893822546	0.0803902727596813	RCR1	2	49
YBR006W	-0.955538042110107	3.14988974000725e-05	UGA2	2	49
YBR007C	-1.14043827613294	0.159483345129522	DSF2	2	49
YBR008C	0.68944532684087	0.602246744818419	FLR1	2	50
YBR009C	-2.45115761480668	0.000256802152939493	HHF2	2	51
YBR010W	-1.99860945400224	0.000199960555520487	HHT2	2	51
YBR011C	0.0541161645967743	0.435724230937259	IPP1	2	51
YBR014C	-0.993158655572791	0.469956135493327	GRX7	2	53
YBR015C	0.145917910500191	0.219789176552271	MNN2	2	53
YBR016W	1.61932681790454	0.0134404595733132	NA	2	54
YBR017C	0.847378521730021	0.226917185301042	KAP104	2	54
YBR019C	0.0578003564473423	0.994565747273899	GAL10	2	55
YBR021W	1.11234538579167	2.47549550407316e-06	FUR4	2	56
YBR022W	1.1355196842989	0.119332211663301	POA1	2	56
YBR023C	1.40665180788731	0.114288043286299	CHS3	2	56
YBR024W	-0.714400790083031	0.206082833800381	SCO2	2	57
YBR025C	-0.385948915007882	0.764300432468657	OLA1	2	58
YBR026C	0.444451480025229	0.803845975829257	ETR1	2	58
YBR028C	-0.933302818299528	0.569661889972912	YPK3	2	58
YBR029C	-0.857421360051646	0.32063048408694	CDS1	2	59
YBR030W	-1.42833881671611	0.0316493823682188	RKM3	2	59
YBR031W	-0.387563008074705	0.0647783746122386	RPL4A	2	60
YBR032W	0.301109572103102	0.660702551658616	NA	2	60
YBR033W	-0.643389465537769	0.554834505252631	EDS1	2	60
YBR034C	0.495118281016858	0.712239199528777	HMT1	2	60
YBR035C	-0.579761897685892	0.753069875505681	PDX3	2	61
YBR036C	0.979285429544	0.511743664000112	CSG2	2	61
YBR038W	-0.332850668174684	0.775342143885357	CHS2	2	62
YBR039W	-0.535158517829909	0.53120547506889	ATP3	2	63
YBR041W	1.18550470093367	0.00302884810521873	FAT1	2	63
YBR042C	2.41071641985439	0.011129273242453	CST26	2	64
YBR043C	-0.302409797349047	0.158883664578914	QDR3	2	64
YBR044C	0.71932115391702	0.651061272630922	TCM62	2	64
YBR045C	3.4505383720932	5.40934928740575e-11	GIP1	2	65
YBR046C	3.49160285126953	1.64414785033603e-07	ZTA1	2	66
YBR048W	-0.542912663795652	0.00110990934281941	RPS11B	2	66
YBR049C	-0.68658771105579	0.0207916468750684	REB1	2	66
YBR050C	0.359810204925985	5.66141398459108e-05	REG2	2	67
YBR052C	0.271696207692962	0.960379425887172	RFS1	2	67
YBR053C	0.711933088301054	0.00164466349100852	NA	2	67
YBR054W	-1.23226256686064	0.270988508163495	YRO2	2	68
YBR055C	1.89374482153453	0.326886123825329	PRP6	2	68
YBR056W	2.21254738024691	0.0100751644776247	NA	2	69
YBR056W-A	2.52779811565625	0.000511768979612303	NA	2	70
YBR057C	1.33550084703261	3.77298857583049e-07	MUM2	2	70
YBR058C	0.136909205524545	0.972581116770592	UBP14	2	70
YBR058C-A	-0.386816614587142	0.798868227487599	TSC3	2	71
YBR059C	-0.232454902797266	0.922271053322934	AKL1	2	71
YBR060C	-0.788390048674714	0.447969745573064	ORC2	2	72
YBR061C	0.0164394327956005	0.357984163024419	TRM7	2	72
YBR062C	-1.39772571945383	0.00266205895122183	NA	2	73
YBR063C	-0.0175521850368479	0.684779381251782	NA	2	73
YBR065C	-0.594145206188713	0.0888486468281047	ECM2	2	73
YBR066C	0.00885465160015985	0.828374877437684	NRG2	2	74
YBR067C	2.22226690966498	0.00745434852933663	TIP1	2	74
YBR068C	-0.202192802971904	0.599483975441857	BAP2	2	74
YBR069C	-0.351743416333855	0.0513498991994225	TAT1	2	75
YBR070C	-0.308245123089624	0.59890573384298	ALG14	2	75
YBR071W	0.876677399600336	0.195756675932622	NA	2	76
YBR072W	0.0416631363506362	0.0831975895667901	HSP26	2	76
YBR073W	0.780029795419173	0.624480654403662	RDH54	2	76
YBR074W	-0.0369988802637843	0.0194812973201393	PFF1	2	77
YBR076W	2.42783574586535	4.95779402787648e-06	ECM8	2	78
YBR077C	2.36497043810644	6.34395923039142e-06	SLM4	2	78
YBR078W	0.802214311738394	0.498075360980709	ECM33	2	78
YBR079C	-0.292906859239435	0.0207916468750684	RPG1	2	79
YBR080C	-0.084361647645525	0.594899112970114	SEC18	2	79
YBR081C	0.410904775788463	0.559366010253913	SPT7	2	80
YBR082C	0.739539050680129	0.611626223904669	UBC4	2	81
YBR083W	-0.208340290355477	0.456784436290446	TEC1	2	81
YBR084C-A	-0.301432980581584	0.00324207990057406	RPL19B	2	82
YBR084W	-0.572043074338346	0.817126588851865	MIS1	2	82
YBR085C-A	1.71322176045583	0.0146595118323609	NA	2	83
